repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,14,24537275.69054854,24537275.69054851,24537275.690548506,62,62,0,1.3909101486206055,0.7257287502288818,0.6651813983917236,0,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
0,15,23208052.78681407,23208052.786814056,23208052.786814053,78,78,0,1.6212477684020996,0.7342376708984375,0.8870100975036621,0,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
0,16,24662755.564500965,24662755.564500954,24662755.56450095,73,73,0,1.163116216659546,0.47617530822753906,0.6869409084320068,0,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
0,17,23558447.156528227,23558447.156528234,23558447.156528234,68,68,0,1.1213204860687256,0.513364315032959,0.6079561710357666,0,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
0,18,21189248.60992637,21189248.609926373,21189248.60992637,69,69,0,1.0123910903930664,0.4010939598083496,0.6112971305847168,0,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
0,19,20324565.100870986,20324565.100870997,20324565.100870967,85,85,0,1.429825782775879,0.6642227172851562,0.7656030654907227,0,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
0,20,18126230.692286234,18126230.692286268,18126230.69228627,102,102,0,1.8947596549987793,0.937551736831665,0.9572079181671143,0,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
0,21,17353277.912773166,17353277.91277317,17353277.91277317,81,81,0,1.1571900844573975,0.4296731948852539,0.7275168895721436,0,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
0,22,17844324.545853395,17844324.545853414,17844324.545853414,92,92,0,1.600541591644287,0.7439365386962891,0.856605052947998,0,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
0,23,19210399.622772664,19210399.622772686,19210399.62277269,83,83,0,1.3004803657531738,0.5468580722808838,0.75362229347229,0,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
0,24,16549886.033973323,16549886.03397333,16549886.033973329,78,78,0,1.145918369293213,0.4319417476654053,0.7139766216278076,0,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
0,25,16408315.113327542,16408315.113327544,16408315.113327544,98,98,0,1.9299938678741455,0.97001051902771,0.9599833488464355,0,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
0,26,16210636.112717444,16210636.112717435,16210636.112717435,93,93,0,1.44718599319458,0.5584347248077393,0.8887512683868408,0,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
0,27,16985094.081602007,16985094.081602015,16985094.081602015,107,107,0,2.195399761199951,1.1989433765411377,0.9964563846588135,0,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
0,28,15428866.189266153,15428866.189266158,15428866.189266156,90,90,0,1.5632741451263428,0.7442164421081543,0.8190577030181885,0,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
0,29,17804265.43480101,17804265.434800975,17804265.434800975,95,95,0,1.7598893642425537,0.8840045928955078,0.8758847713470459,0,"[45.0, -0.0, 176.0, 3181.0, 38.0, 222.0]"
0,30,16440999.330924276,16440999.330924274,16440999.330924276,97,97,0,1.9333584308624268,1.0111424922943115,0.9222159385681152,0,"[46.0, 4.0, 166.0, 2592.0, 39.0, 119.0]"
0,31,15949531.010276351,15949531.010276342,15949531.01027634,88,88,0,1.6299684047698975,0.6263833045959473,1.0035851001739502,0,"[62.0, -0.0, 174.0, 2514.0, 35.0, 385.0]"
0,32,15833845.116530396,15833845.116530422,15833845.116530418,97,97,0,1.8328101634979248,0.6940412521362305,1.1387689113616943,0,"[60.0, 1.0, 162.0, 2314.0, 38.0, 122.0]"
0,33,18452589.33319558,18452589.333195597,18452589.33319548,97,97,0,2.174398183822632,1.0393869876861572,1.1350111961364746,0,"[45.0, 1.0, 177.0, 3290.0, 38.0, 245.0]"
0,34,17520820.193474054,17520820.19347406,17520820.19347406,105,105,0,1.8540048599243164,0.9002180099487305,0.9537868499755859,0,"[60.0, 18.0, 163.0, 3120.0, 36.0, 301.0]"
0,35,16250464.717147708,16250464.717147708,16250464.717147708,110,110,0,2.4071974754333496,1.3606717586517334,1.0465257167816162,0,"[24.0, 7.0, 180.0, 2414.0, 37.0, 481.0]"
0,36,16991187.066727255,16991187.06672726,16991187.06672726,100,100,0,1.971618890762329,1.0284745693206787,0.9431443214416504,0,"[52.0, -0.0, 182.0, 2130.0, 40.0, 402.0]"
0,37,17425794.496298473,17425794.496298477,17425794.496298477,119,119,0,2.4089949131011963,1.162665605545044,1.2463293075561523,0,"[40.0, 1.0, 180.0, 2609.0, 40.0, 274.0]"
0,38,16807415.41401359,16807415.41401358,16807415.41401358,97,97,0,1.720654010772705,0.727747917175293,0.9929060935974121,0,"[58.0, -0.0, 167.0, 2831.0, 34.0, 243.0]"
