repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,0,26047087.832061738,26047087.832061715,26047087.832061715,56,41,15,0.6481757164001465,0.23673748970031738,0.3968625068664551,0.014575719833374023,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
0,1,31283421.92228425,31283421.92228425,31283421.92228425,52,41,11,0.5891830921173096,0.19537687301635742,0.3825206756591797,0.011285543441772461,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
0,2,30854735.95156652,30854735.951566502,30854735.9515665,51,35,16,0.46999669075012207,0.14362692832946777,0.31035876274108887,0.01601099967956543,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
0,3,31778768.829191282,31778768.82919127,31778768.829191275,56,45,11,0.751537561416626,0.3244640827178955,0.4170258045196533,0.010047674179077148,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
0,4,33006522.664473403,33006522.66447337,33006522.664473366,57,46,11,0.6138434410095215,0.1847846508026123,0.41878223419189453,0.010276556015014648,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
0,5,34156576.33073264,34156576.33073263,34156576.330732636,55,48,7,0.6254177093505859,0.20913028717041016,0.41039538383483887,0.005892038345336914,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
0,6,32683277.264786474,32683277.26478646,32683277.26478646,47,39,8,0.5047996044158936,0.1593635082244873,0.33864378929138184,0.006792306900024414,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
0,7,33045526.57953956,33045526.579539575,33045526.579539567,50,41,9,0.5188422203063965,0.1554274559020996,0.3558380603790283,0.007576704025268555,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
0,8,33251283.422663897,33251283.422663935,33251283.422663927,69,61,8,1.062840223312378,0.5214405059814453,0.5344390869140625,0.006960630416870117,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
0,9,29969433.549330022,29969433.549329996,29969433.549329996,75,64,11,1.059513807296753,0.47780919075012207,0.5725481510162354,0.009156465530395508,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
0,10,29335473.39452561,29335473.394525606,29335473.394525606,85,75,10,1.284325122833252,0.5852930545806885,0.6904644966125488,0.008567571640014648,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
0,11,27080523.14145828,27080523.14145831,27080523.14145814,70,56,14,1.025144100189209,0.5051589012145996,0.5084280967712402,0.01155710220336914,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
