repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,14,24537275.69054854,780804497.0263149,3960566.666666666,14,0,14,0.03623175621032715,0.02486133575439453,0,0.011370420455932617,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
0,15,23208052.78681407,851799081.4009165,3882633.3333333326,10,0,10,0.022105932235717773,0.014031648635864258,0,0.008074283599853516,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
0,16,24662755.564500965,848686912.8149229,4146666.666666666,16,0,16,0.0337834358215332,0.02104949951171875,0,0.012733936309814453,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
0,17,23558447.156528227,776110587.5803055,3726599.999999999,12,0,12,0.02019786834716797,0.010421514511108398,0,0.00977635383605957,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
0,18,21189248.60992637,777446932.835851,3812333.333333333,15,0,15,0.03072071075439453,0.01815629005432129,0,0.012564420700073242,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
0,19,20324565.100870986,787016904.3273753,3441766.6666666656,13,0,13,0.030744314193725586,0.0202789306640625,0,0.010465383529663086,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
0,20,18126230.692286234,730536137.6710438,2917433.333333332,10,0,10,0.02232193946838379,0.013931035995483398,0,0.00839090347290039,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
0,21,17353277.912773166,663552536.241606,2934933.333333332,13,0,13,0.03955197334289551,0.028451919555664062,0,0.011100053787231445,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
0,22,17844324.545853395,724843282.1704892,2902799.9999999986,11,0,11,0.028865575790405273,0.01985645294189453,0,0.009009122848510742,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
0,23,19210399.622772664,703510382.4176024,3182966.6666666656,10,0,10,0.026093006134033203,0.017954587936401367,0,0.008138418197631836,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
0,24,16549886.033973323,621398123.5806432,2790566.6666666656,12,0,12,0.027475833892822266,0.017667770385742188,0,0.009808063507080078,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
0,25,16408315.113327542,751712216.4278122,2613599.999999999,11,0,11,0.02221393585205078,0.013052701950073242,0,0.009161233901977539,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
0,26,16210636.112717444,731159731.1961958,2763499.999999999,12,0,12,0.02877187728881836,0.018590211868286133,0,0.010181665420532227,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
0,27,16985094.081602007,635425619.1653354,2934566.6666666656,13,0,13,0.034644126892089844,0.023586511611938477,0,0.011057615280151367,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
0,28,15428866.189266153,544146204.2652774,2889599.9999999986,20,0,20,0.0485382080078125,0.03215599060058594,0,0.016382217407226562,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
0,29,17804265.43480101,705240149.4343691,2855799.999999999,13,0,13,0.03614020347595215,0.024934053421020508,0,0.01120615005493164,"[45.0, -0.0, 176.0, 3181.0, 38.0, 222.0]"
0,30,16440999.330924276,669316674.4112387,2967399.999999999,13,0,13,0.03926253318786621,0.028774499893188477,0,0.010488033294677734,"[46.0, 4.0, 166.0, 2592.0, 39.0, 119.0]"
0,31,15949531.010276351,647559823.405401,2792666.6666666656,12,0,12,0.04087090492248535,0.03086376190185547,0,0.010007143020629883,"[62.0, -0.0, 174.0, 2514.0, 35.0, 385.0]"
0,32,15833845.116530396,631696259.0953745,2871399.999999999,14,0,14,0.03512835502624512,0.023780345916748047,0,0.01134800910949707,"[60.0, 1.0, 162.0, 2314.0, 38.0, 122.0]"
0,33,18452589.33319558,748551885.148402,2856833.333333332,9,0,9,0.02061176300048828,0.013234138488769531,0,0.00737762451171875,"[45.0, 1.0, 177.0, 3290.0, 38.0, 245.0]"
0,34,17520820.193474054,611142254.6516528,2884599.999999999,16,0,16,0.030339479446411133,0.016940593719482422,0,0.013398885726928711,"[60.0, 18.0, 163.0, 3120.0, 36.0, 301.0]"
